ID,Razón Social,NIT,Sector,Vacantes Encontradas,Última Vacante,Email Encontrado,Teléfono Encontrado,Estado
"177","Emerald Energy","","",0,"","","","Sin vacantes"
"178","Top Drilling Company Sucursal Colombia","","",0,"","","","Sin vacantes"
"179","COLTEFINANCIERA S.A.","","",0,"","","","Sin vacantes"
"180","UNIVERSIDAD ECCI","","",0,"","","","Sin vacantes"
"181","Corona Industrial S.A.S.","","",0,"","","","Sin vacantes"
"182","EMPRESA DE ENERGIA DE BOGOTA S.A. ESP","","",0,"","","","Sin vacantes"
"183","CIFIN SA","","",0,"","","","Sin vacantes"
"184","Tickets Fast S.A.S","","",0,"","","","Sin vacantes"
"185","Fussion Corporation Colombia SAS","","",0,"","","","Sin vacantes"
"186","Instituto Geografico Agustin Codazzi","","",0,"","","","Sin vacantes"
"187","Universidad del SINU","","",0,"","","","Sin vacantes"
"188","Seguros De Riesgos Profesionales Suramericana SA","","",0,"","","","Sin vacantes"
"189","Masivo Capital SAS","","",0,"","","","Sin vacantes"
"190","Grow Data SAS","","",0,"","","","Sin vacantes"
"191","UNIVERSIDAD AGRARIA DE COLOMBIA","","",0,"","","","Sin vacantes"
"192","Emerald Energy PLC","","",0,"","","","Sin vacantes"
"193","Itelca SAS","","",0,"","","","Sin vacantes"
"194","BANCO DE COMERCIO EXTERIOR DE COLOMBIA BANCOLDEX","","",0,"","","","Sin vacantes"
"195","Fondo Financiero De Proyectos De Desarrollo Fonade","","",0,"","","","Sin vacantes"
"196","Akita Motos SA","","",0,"","","","Sin vacantes"
"197","Caja de Compensación Familiar de Cundinamarca COM","","",0,"","","","Sin vacantes"
"198","CREDICORP CAPITAL COLOMBIA S A SIGLA CREDICORP CAP","","",0,"","","","Sin vacantes"
"199","COMFAMILIAR RISARALDA","","",0,"","","","Sin vacantes"
"200","Caja De Retiro De Las Fuerzas Militares","","",0,"","","","Sin vacantes"
"201","Enorey International, S. A. (Quanam)","","",0,"","","","Sin vacantes"
"202","Banco Del Pacifico SA","","",0,"","","","Sin vacantes"
"203","Industrias Metalex S.A.S","","",0,"","","","Sin vacantes"
"204","ZONA FRANCA DE BOGOTA","","",0,"","","","Sin vacantes"
"205","Bull Uruguay S.A.","","",0,"","","","Sin vacantes"
"206","EMPR. DE TRANSP DEL TERCER MILENIO TRANSMILENIO SA","","",0,"","","","Sin vacantes"
"207","COLEGIO MAYOR DE NUESTRA SENORA DEL ROSARIO","","",0,"","","","Sin vacantes"
"208","Verano Ingenieria Ltda","","",0,"","","","Sin vacantes"
"209","QBE Seguros SA","","",0,"","","","Sin vacantes"
"210","Makro Supermayorista S.A.S.","","",0,"","","","Sin vacantes"
"211","CASA EDITORIAL EL TIEMPO S A","","",0,"","","","Sin vacantes"
"212","Landers & Cia. S.a.","","",0,"","","","Sin vacantes"
"213","Encajes SA Colombia","","",0,"","","","Sin vacantes"
"214","Interactivo Contact Center SA","","",0,"","","","Sin vacantes"
"215","INDUSTRIAS ESTRA S.A.","","",0,"","","","Sin vacantes"
"216","Blu Logistics Colombia S.A.S","","",0,"","","","Sin vacantes"
"217","Circulante S.A","","",0,"","","","Sin vacantes"
"218","CI Grodco SCA","","",0,"","","","Sin vacantes"
"219","CORPORACION AUTOMONA REGIONAL DEL VALLE DEL CAUCA","","",0,"","","","Sin vacantes"
"220","Representaciones y Servicios Globales S.A.","","",0,"","","","Sin vacantes"
"221","Fundacion Universitaria Panamericana","","",0,"","","","Sin vacantes"
"222","UNIVERSIDAD CATOLICA DE COLOMBIA","","",0,"","","","Sin vacantes"
"223","UNIVERSIDAD EL BOSQUE","","",0,"","","","Sin vacantes"
"224","Gemalto Colombia SA","","",0,"","","","Sin vacantes"
"225","Interbolsa SA","","",0,"","","","Sin vacantes"
"226","PRODUCTOS RAMO S.A.","","",0,"","","","Sin vacantes"
"227","FANALCA S.A - Proyecto BI, DB para OWB","","",0,"","","","Sin vacantes"
"228","FONDO DE PREVENCION Y ATENCION DE EMERGENCIAS DEA","","",0,"","","","Sin vacantes"
